asset_id,maintenance_log,date
HVAC-03,"BMS communication timeout noted on unit, manual override applied",15/01/2024
HVAC-03,"Fan blade imbalance observed, vibration levels measured and recorded",15/01/2024
HVAC-03,Control sequence fault detected during changeover between heating and cooling,15/01/2024
HVAC-03,"Overload relay tripped, motor current draw detected as elevated",15/01/2024
HVAC-04,"Vibration isolation mounts elevated deteriorated, unit detected as unstable",15/01/2024
HVAC-04,"Economiser damper elevated slow to respond, actuator noted and replaced",15/01/2024
HVAC-05,"Anti-freeze thermostat setpoint noted as incorrectly set, corrected",15/01/2024
HVAC-06,"Evaporator coil frosting over, defrost cycle initiated",15/01/2024
HVAC-07,Ductwork damper reported as stuck in partially closed position,15/01/2024
HVAC-08,"Anti-freeze thermostat setpoint reported as incorrectly set, corrected",15/01/2024
HVAC-08,"Head pressure minor elevated, condenser fan speed checked",15/01/2024
HVAC-01,"Suction line frost recorded at expansion valve, TXV adjustment required",16/01/2024
HVAC-02,"Supply fan belt persistent worn, replacement recorded and scheduled",16/01/2024
HVAC-02,"Blower wheel fouled with debris, persistent buildup detected and cleaned",16/01/2024
HVAC-02,"Liquid line sight glass showing bubbles, low refrigerant charge suspected",16/01/2024
HVAC-03,Air filter pressure drop elevated above recommended threshold,16/01/2024
HVAC-03,"Condenser coil heavily fouled with debris, cleaning observed as required",16/01/2024
HVAC-04,"Overload relay tripped, motor current draw reported as elevated",16/01/2024
HVAC-04,"Evaporator coil frosting over, defrost cycle initiated",16/01/2024
HVAC-05,"Control transformer output voltage intermittent low, unit inspected",16/01/2024
HVAC-07,Noise complaint from supply diffuser — turbulence detected,16/01/2024
HVAC-01,"Setpoint drift recorded on zone controller overnight, investigated",17/01/2024
HVAC-02,"Capacitor showing signs of intermittent aging, voltage readings below specification",17/01/2024
HVAC-02,Ductwork damper noted as stuck in partially closed position,17/01/2024
HVAC-04,Ductwork damper reported as stuck in partially closed position,17/01/2024
HVAC-04,"Alarms suppressed by contractor without authorisation, observed",17/01/2024
HVAC-05,Ductwork damper reported as stuck in partially closed position,17/01/2024
HVAC-06,"Duct leakage detected at flex connector joints, sealed with mastic",17/01/2024
HVAC-06,Manual reset required after high-limit thermostat trip,17/01/2024
HVAC-07,"Zone temperature sensor significant out of calibration, recalibrated",17/01/2024
HVAC-07,"Compressor short-cycling detected, pressure switch inspected",17/01/2024
HVAC-07,"Condenser coil heavily fouled with debris, cleaning reported as required",17/01/2024
HVAC-07,"Terminal block intermittent corrosion observed, connections cleaned and tightened",17/01/2024
HVAC-08,"Zone temperature sensor intermittent out of calibration, recalibrated",17/01/2024
HVAC-08,"Evaporator coil frosting over, defrost cycle initiated",17/01/2024
HVAC-01,"Static pressure reading significant outside normal range, ductwork inspected",18/01/2024
HVAC-05,"Suction line frost detected at expansion valve, TXV adjustment required",18/01/2024
HVAC-06,"Suction line frost recorded at expansion valve, TXV adjustment required",18/01/2024
HVAC-07,"Liquid line sight glass showing bubbles, low refrigerant charge suspected",18/01/2024
HVAC-07,"Runtime hours counter minor mismatched with physical log, corrected",18/01/2024
HVAC-07,Thermostat setpoint not being maintained — sensor drift observed and suspected,18/01/2024
HVAC-07,"Control board fault code F14 reported, reset performed",18/01/2024
HVAC-01,"Control transformer output voltage persistent low, unit inspected",19/01/2024
HVAC-01,"Head pressure elevated elevated, condenser fan speed checked",19/01/2024
HVAC-02,"Capacitor showing signs of elevated aging, voltage readings below specification",19/01/2024
HVAC-03,"Runtime hours counter persistent mismatched with physical log, corrected",19/01/2024
HVAC-03,"Return air temperature intermittent higher than setpoint, airflow restricted",19/01/2024
HVAC-05,"Control transformer output voltage minor low, unit inspected",19/01/2024
HVAC-06,"Fan blade imbalance detected, vibration levels measured and recorded",19/01/2024
HVAC-06,"Motor run capacitor persistent degraded, replaced during inspection",19/01/2024
HVAC-06,"Contactor contacts pitted and worn, replacement reported and scheduled",19/01/2024
HVAC-07,"Capacitor showing signs of significant aging, voltage readings below specification",19/01/2024
HVAC-07,Control sequence fault recorded during changeover between heating and cooling,19/01/2024
HVAC-07,"Capacitor showing signs of intermittent aging, voltage readings below specification",19/01/2024
HVAC-07,"Static pressure reading elevated outside normal range, ductwork inspected",19/01/2024
HVAC-08,"Control board fault code F77 recorded, reset performed",19/01/2024
HVAC-08,Compressor discharge temperature intermittent above normal operating range,19/01/2024
HVAC-08,"Capacitor showing signs of significant aging, voltage readings below specification",19/01/2024
HVAC-01,Control sequence fault detected during changeover between heating and cooling,20/01/2024
HVAC-02,"Refrigerant leak detected at service valve connection, repair scheduled",20/01/2024
HVAC-02,"Compressor suction pressure significant lower than expected, possible refrigerant leak recorded",20/01/2024
HVAC-02,"Compressor short-cycling noted, pressure switch inspected",20/01/2024
HVAC-03,"Terminal block persistent corrosion recorded, connections cleaned and tightened",20/01/2024
HVAC-04,"Return air temperature minor higher than setpoint, airflow restricted",20/01/2024
HVAC-04,"High-pressure safety cutout triggered — unit shutdown, noted",20/01/2024
HVAC-05,"Alarms suppressed by contractor without authorisation, observed",20/01/2024
HVAC-05,Refrigerant leak detector alarm reported in plant room,20/01/2024
HVAC-06,"Vibration isolation mounts significant deteriorated, unit detected as unstable",20/01/2024
HVAC-07,"Motor run capacitor intermittent degraded, replaced during inspection",20/01/2024
HVAC-08,"Demand-controlled ventilation not responding to CO2 signal, recorded",20/01/2024
HVAC-08,"Condensate drain overflowing, float switch observed and replaced",20/01/2024
HVAC-01,"Refrigerant pressure readings outside specification, system checked",21/01/2024
HVAC-02,"Duct leakage detected at flex connector joints, sealed with mastic",21/01/2024
HVAC-03,"Condenser fan motor minor noisy, bearing wear noted",21/01/2024
HVAC-03,"Liquid line sight glass showing bubbles, low refrigerant charge suspected",21/01/2024
HVAC-03,"Runtime hours counter intermittent mismatched with physical log, corrected",21/01/2024
HVAC-03,"Refrigerant leak recorded at service valve connection, repair scheduled",21/01/2024
HVAC-04,"Evaporator coil frosting over, defrost cycle initiated",21/01/2024
HVAC-04,"Overload relay tripped, motor current draw noted as elevated",21/01/2024
HVAC-04,"Capacitor showing signs of minor aging, voltage readings below specification",21/01/2024
HVAC-06,"Smoke detector in AHU compartment activated, area inspected",21/01/2024
HVAC-06,"Suction line frost recorded at expansion valve, TXV adjustment required",21/01/2024
HVAC-06,"BACnet network interruption detected, gateway settings reviewed",21/01/2024
HVAC-07,"Control transformer output voltage elevated low, unit inspected",21/01/2024
HVAC-01,"Compressor short-cycling detected, pressure switch inspected",22/01/2024
HVAC-01,"Duct leakage observed at flex connector joints, sealed with mastic",22/01/2024
HVAC-02,"Head pressure minor elevated, condenser fan speed checked",22/01/2024
HVAC-02,"Motor run capacitor minor degraded, replaced during inspection",22/01/2024
HVAC-02,Air filter pressure drop intermittent above recommended threshold,22/01/2024
HVAC-03,"Alarms suppressed by contractor without authorisation, recorded",22/01/2024
HVAC-03,"Economiser damper minor slow to respond, actuator noted and replaced",22/01/2024
HVAC-04,"Vibration isolation mounts persistent deteriorated, unit recorded as unstable",22/01/2024
HVAC-06,"BMS communication timeout detected on unit, manual override applied",22/01/2024
HVAC-07,Control sequence fault reported during changeover between heating and cooling,22/01/2024
HVAC-07,"Motor run capacitor intermittent degraded, replaced during inspection",22/01/2024
HVAC-07,"BACnet network interruption noted, gateway settings reviewed",22/01/2024
HVAC-07,"Smoke detector in AHU compartment activated, area inspected",22/01/2024
HVAC-07,"Supply air temperature elevated inconsistent, mixing box damper adjusted",22/01/2024
HVAC-07,"BMS communication timeout noted on unit, manual override applied",22/01/2024
HVAC-08,"Overload relay tripped, motor current draw detected as elevated",22/01/2024
HVAC-08,Ductwork damper observed as stuck in partially closed position,22/01/2024
HVAC-01,Ductwork damper reported as stuck in partially closed position,23/01/2024
HVAC-01,Ductwork damper observed as stuck in partially closed position,23/01/2024
HVAC-01,"Terminal block elevated corrosion reported, connections cleaned and tightened",23/01/2024
HVAC-02,"Zone temperature sensor elevated out of calibration, recalibrated",23/01/2024
HVAC-03,Manual reset required after high-limit thermostat trip,23/01/2024
HVAC-03,"Head pressure persistent elevated, condenser fan speed checked",23/01/2024
HVAC-03,"Duct leakage observed at flex connector joints, sealed with mastic",23/01/2024
HVAC-04,"Control transformer output voltage intermittent low, unit inspected",23/01/2024
HVAC-05,"Anti-freeze thermostat setpoint detected as incorrectly set, corrected",23/01/2024
HVAC-05,"Static pressure reading intermittent outside normal range, ductwork inspected",23/01/2024
HVAC-05,"Runtime hours counter minor mismatched with physical log, corrected",23/01/2024
HVAC-06,"Evaporator coil frosting over, defrost cycle initiated",23/01/2024
HVAC-07,"Capacitor showing signs of intermittent aging, voltage readings below specification",23/01/2024
HVAC-07,"Condenser fan motor elevated noisy, bearing wear detected",23/01/2024
HVAC-07,"Alarms suppressed by contractor without authorisation, reported",23/01/2024
HVAC-07,"BACnet network interruption detected, gateway settings reviewed",23/01/2024
HVAC-01,"Fire damper failed functional test, maintenance team recorded and notified",24/01/2024
HVAC-02,"Evaporator coil frosting over, defrost cycle initiated",24/01/2024
HVAC-03,"Motor run capacitor intermittent degraded, replaced during inspection",24/01/2024
HVAC-03,"Capacitor showing signs of minor aging, voltage readings below specification",24/01/2024
HVAC-03,"Earth leakage reported on compressor motor circuit, insulation tested",24/01/2024
HVAC-05,"Compressor short-cycling reported, pressure switch inspected",24/01/2024
HVAC-06,"High-pressure safety cutout triggered — unit shutdown, detected",24/01/2024
HVAC-07,"Condenser coil heavily fouled with debris, cleaning detected as required",24/01/2024
HVAC-07,"Scheduling fault — unit failed to start at programmed time, reported",24/01/2024
HVAC-07,"Condenser fan motor minor noisy, bearing wear reported",24/01/2024
HVAC-07,"Capacitor showing signs of intermittent aging, voltage readings below specification",24/01/2024
HVAC-08,"Suction line frost observed at expansion valve, TXV adjustment required",24/01/2024
HVAC-08,"Return air temperature significant higher than setpoint, airflow restricted",24/01/2024
HVAC-01,"Overload relay tripped, motor current draw detected as elevated",25/01/2024
HVAC-02,"Runtime hours counter minor mismatched with physical log, corrected",25/01/2024
HVAC-06,"Fire damper failed functional test, maintenance team recorded and notified",25/01/2024
HVAC-08,"Zone temperature sensor persistent out of calibration, recalibrated",25/01/2024
HVAC-01,"Return air temperature persistent higher than setpoint, airflow restricted",26/01/2024
HVAC-02,"Setpoint drift observed on zone controller overnight, investigated",26/01/2024
HVAC-03,"Wiring insulation significant deteriorated at junction box, rewired",26/01/2024
HVAC-03,"Overload relay tripped, motor current draw detected as elevated",26/01/2024
HVAC-04,"Capacitor showing signs of intermittent aging, voltage readings below specification",26/01/2024
HVAC-04,"Compressor suction pressure elevated lower than expected, possible refrigerant leak noted",26/01/2024
HVAC-05,"Zone temperature sensor elevated out of calibration, recalibrated",26/01/2024
HVAC-06,Manual reset required after high-limit thermostat trip,26/01/2024
HVAC-07,"Control board fault code F70 detected, reset performed",26/01/2024
HVAC-07,"Motor run capacitor significant degraded, replaced during inspection",26/01/2024
HVAC-07,"Demand-controlled ventilation not responding to CO2 signal, observed",26/01/2024
HVAC-07,"Suction line frost reported at expansion valve, TXV adjustment required",26/01/2024
HVAC-07,"Condensate drain overflowing, float switch reported and replaced",26/01/2024
HVAC-08,"Voltage imbalance intermittent across phases, supply quality checked",26/01/2024
HVAC-08,"Economiser damper elevated slow to respond, actuator reported and replaced",26/01/2024
HVAC-08,"Capacitor showing signs of minor aging, voltage readings below specification",26/01/2024
HVAC-01,"Condenser fan motor elevated noisy, bearing wear detected",27/01/2024
HVAC-01,"Scheduling fault — unit failed to start at programmed time, reported",27/01/2024
HVAC-02,"High-pressure safety cutout triggered — unit shutdown, noted",27/01/2024
HVAC-02,"Contactor contacts pitted and worn, replacement reported and scheduled",27/01/2024
HVAC-03,"Overload relay tripped, motor current draw recorded as elevated",27/01/2024
HVAC-03,"Liquid line sight glass showing bubbles, low refrigerant charge suspected",27/01/2024
HVAC-04,"BMS communication timeout noted on unit, manual override applied",27/01/2024
HVAC-04,"Demand-controlled ventilation not responding to CO2 signal, detected",27/01/2024
HVAC-04,"Anti-freeze thermostat setpoint recorded as incorrectly set, corrected",27/01/2024
HVAC-04,"Supply fan belt elevated worn, replacement noted and scheduled",27/01/2024
HVAC-06,"Condenser coil heavily fouled with debris, cleaning detected as required",27/01/2024
HVAC-07,"Supply air temperature elevated inconsistent, mixing box damper adjusted",27/01/2024
HVAC-07,Control sequence fault reported during changeover between heating and cooling,27/01/2024
HVAC-01,"High-pressure safety cutout triggered — unit shutdown, reported",28/01/2024
HVAC-01,Manual reset required after high-limit thermostat trip,28/01/2024
HVAC-01,"Demand-controlled ventilation not responding to CO2 signal, detected",28/01/2024
HVAC-02,Ductwork damper reported as stuck in partially closed position,28/01/2024
HVAC-02,"Overload relay tripped, motor current draw detected as elevated",28/01/2024
HVAC-03,"Economiser damper intermittent slow to respond, actuator recorded and replaced",28/01/2024
HVAC-03,"Wiring insulation elevated deteriorated at junction box, rewired",28/01/2024
HVAC-03,"Blower wheel fouled with debris, elevated buildup detected and cleaned",28/01/2024
HVAC-07,"Refrigerant pressure readings outside specification, system checked",28/01/2024
HVAC-07,"Fuse blown on control circuit, root cause reported and investigated",28/01/2024
HVAC-08,Air filter pressure drop intermittent above recommended threshold,28/01/2024
HVAC-08,"Refrigerant charge low — technician reported low refrigerant level, top-up performed",28/01/2024
HVAC-01,Compressor discharge temperature persistent above normal operating range,29/01/2024
HVAC-01,"Control board fault code F28 detected, reset performed",29/01/2024
HVAC-02,"Refrigerant pressure readings outside specification, system checked",29/01/2024
HVAC-02,"Wiring insulation elevated deteriorated at junction box, rewired",29/01/2024
HVAC-03,"Motor run capacitor persistent degraded, replaced during inspection",29/01/2024
HVAC-03,"Alarms suppressed by contractor without authorisation, noted",29/01/2024
HVAC-03,"Safety relief valve observed as weeping, scheduled for replacement",29/01/2024
HVAC-03,"Refrigerant leak observed at service valve connection, repair scheduled",29/01/2024
HVAC-03,"Fan blade imbalance detected, vibration levels measured and recorded",29/01/2024
HVAC-03,"BMS communication timeout noted on unit, manual override applied",29/01/2024
HVAC-03,"Supply fan belt minor worn, replacement observed and scheduled",29/01/2024
HVAC-03,"Refrigerant pressure readings outside specification, system checked",29/01/2024
HVAC-03,"Condenser coil heavily fouled with debris, cleaning reported as required",29/01/2024
HVAC-03,"Condensate drain overflowing, float switch observed and replaced",29/01/2024
HVAC-05,"Terminal block elevated corrosion detected, connections cleaned and tightened",29/01/2024
HVAC-05,"Liquid line sight glass showing bubbles, low refrigerant charge suspected",29/01/2024
HVAC-06,"Safety relief valve detected as weeping, scheduled for replacement",29/01/2024
HVAC-08,"Fire damper failed functional test, maintenance team reported and notified",29/01/2024
HVAC-08,Thermostat setpoint not being maintained — sensor drift observed and suspected,29/01/2024
HVAC-01,"Wiring insulation elevated deteriorated at junction box, rewired",30/01/2024
HVAC-02,"Refrigerant pressure readings outside specification, system checked",30/01/2024
HVAC-02,"Scheduling fault — unit failed to start at programmed time, noted",30/01/2024
HVAC-02,"Zone temperature sensor minor out of calibration, recalibrated",30/01/2024
HVAC-02,"Liquid line sight glass showing bubbles, low refrigerant charge suspected",30/01/2024
HVAC-03,"Head pressure intermittent elevated, condenser fan speed checked",30/01/2024
HVAC-03,Refrigerant leak detector alarm noted in plant room,30/01/2024
